time;SP;pSP;IPG1G2;IPG1;pG1P;IPG2;pG2P;SC;pSC;ICG1G2;ICG1;pG1C;ICG2;pG2C;N;...17;file;dSP;gammaPG1;dIPG1;gammaPG2;dIPG2;dSC;gammaCG1;dICG1;gammaCG2;dICG2;psiG1;FG1;psiG2;FG2;pi;FGB;c;kappa;sigma;eul;demog_feedback;vanish_threshold;pBc;pBp;pGc;pGp;fc
176540;0.0473592;0.0530691;0;0;0;0.845048;0.946931;1.32748e-4;0.054124;0;0;0;0.00231991;0.945876;0.89486;NA;./competition_output_1003;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0;0.9458758620239757;0.9469309525965276;0.0027408287329861655
0;29.8202;0.93184;0;1.0604;0.0331361;1.1208;0.0350235;29.8789;0.963858;0;0;0;1.12039;0.0361425;63.0007;NA;./competition_output_1004;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.033136050297799466;0.03614244068170593;0.0350234677232871;0.49204675503605516
10;25.7573;0.888227;0;1.29133;0.0445307;1.94994;0.0672424;27.0877;0.921747;0;0;0;2.29965;0.078253;58.386;NA;./competition_output_1004;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.04453081651957321;0.07825305786333235;0.06724262610190779;0.5033287089370739
50;7.8273;0.490988;0;1.57049;0.0985134;6.54413;0.410498;10.1094;0.493343;0;0;0;10.3822;0.506657;36.4335;NA;./competition_output_1004;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.09851322801770426;0.5066563860313494;0.4104982335879242;0.5624384151948069
100;1.08473;0.16019;0;1.0193;0.150528;4.66749;0.689282;1.69286;0.143242;0;0;0;10.1253;0.856758;18.5897;NA;./competition_output_1004;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.1505275034261141;0.8567577355527426;0.6892824653844336;0.6357369941419172
1000;0.00940984;0.0254559;0;0.132267;0.357815;0.227975;0.616729;0.0421026;0.0252382;0;0;0;1.6261;0.974762;2.03786;NA;./competition_output_1004;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.357815072691103;0.9747616986090298;0.6167289739447801;0.8186051053556183
173379;0.0473594;0.0530691;0;3.64815e-6;4.08797e-6;0.845048;0.946927;1.32532e-4;0.0541242;0;0;0;0.00231613;0.945876;0.89486;NA;./competition_output_1004;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;4.0879704566216934e-6;0.9458757476532083;0.9469268693522057;0.0027363632300024584
0;30;1;0;0;0;0;0;29.9987;1;0;0;0;0;0;59.9987;NA;./competition_output_1005;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0;0;0;0.49998916643193936
10;28.2831;1;0;0;0;0;0;29.0124;1;0;0;0;0;0;57.2955;NA;./competition_output_1005;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0;0;0;0.5063643741655104
50;22.8843;1;0;0;0;0;0;25.7228;1;0;0;0;0;0;48.6071;NA;./competition_output_1005;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0;0;0;0.5291984092858861
100;18.2986;1;0;0;0;0;0;22.6455;1;0;0;0;0;0;40.944;NA;./competition_output_1005;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0;0;0;0.5530847010550995
1000;3.08534;1;0;0;0;0;0;8.02932;1;0;0;0;0;0;11.1147;NA;./competition_output_1005;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0;0;0;0.7224054630354396
126267;0.0250761;1;0;0;0;0;0;0.00219857;1;0;0;0;0;0;0.0272747;NA;./competition_output_1005;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0;0;0;0.08060840265887434
0;29.9401;0.965794;0;1.0604;0.0342059;0;0;29.9987;1;0;0;0;0;0;60.9992;NA;./competition_output_1006;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0.03420589990484024;0;0;0.49178841689727076
10;27.5443;0.954175;0;1.32283;0.045825;0;0;28.9992;1;0;0;0;0;0;57.8663;NA;./competition_output_1006;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0.04582478410565927;0;0;0.5011414242832183
