time;Sp;Ipg1;Ipg2;Sc;Icg1;Icg2;N;
2050;0.696875;205.642;340.039;0.411897;2.94105;233.562;783.293;
2060;0.697379;205.211;340.919;0.410862;2.90722;233.225;783.37;
2070;0.697884;204.782;341.796;0.40983;2.87377;232.886;783.445;
2080;0.698387;204.353;342.67;0.408803;2.8407;232.547;783.518;
2090;0.69889;203.925;343.542;0.40778;2.808;232.208;783.59;
2100;0.699392;203.499;344.411;0.40676;2.77567;231.868;783.66;
2110;0.699893;203.073;345.278;0.405745;2.7437;231.528;783.728;
2120;0.700394;202.649;346.142;0.404733;2.71209;231.188;783.795;
2130;0.700894;202.225;347.003;0.403725;2.68084;230.847;783.86;
2140;0.701394;201.803;347.862;0.402721;2.64995;230.505;783.924;
2150;0.701893;201.382;348.719;0.40172;2.6194;230.164;783.987;
2160;0.702391;200.961;349.573;0.400724;2.5892;229.822;784.048;
2170;0.702888;200.542;350.424;0.399731;2.55935;229.48;784.108;
2180;0.703385;200.124;351.273;0.398742;2.52983;229.137;784.167;
2190;0.703882;199.707;352.12;0.397757;2.50064;228.795;784.224;
2200;0.704378;199.292;352.965;0.396775;2.47179;228.452;784.281;
2210;0.704873;198.877;353.807;0.395796;2.44326;228.108;784.336;
2220;0.705367;198.464;354.646;0.394822;2.41506;227.765;784.39;
2230;0.705861;198.051;355.484;0.393851;2.38718;227.421;784.443;
2240;0.706355;197.64;356.319;0.392883;2.35962;227.078;784.496;
2250;0.706848;197.23;357.152;0.391919;2.33237;226.734;784.547;
2260;0.70734;196.821;357.983;0.390959;2.30543;226.389;784.597;
2270;0.707831;196.414;358.811;0.390002;2.27879;226.045;784.646;
2280;0.708322;196.007;359.637;0.389048;2.25246;225.701;784.695;
2290;0.708813;195.602;360.461;0.388098;2.22643;225.356;784.743;
2300;0.709302;195.198;361.283;0.387151;2.2007;225.011;784.789;
2310;0.709791;194.795;362.102;0.386208;2.17526;224.667;784.836;
2320;0.71028;194.394;362.92;0.385268;2.15011;224.322;784.881;
2330;0.710768;193.993;363.735;0.384331;2.12525;223.977;784.925;
2340;0.711255;193.594;364.548;0.383397;2.10067;223.632;784.969;
2350;0.711742;193.196;365.359;0.382467;2.07637;223.287;785.012;
2360;0.712228;192.799;366.168;0.38154;2.05235;222.942;785.055;
2370;0.712714;192.404;366.975;0.380616;2.0286;222.597;785.097;
2380;0.713199;192.009;367.779;0.379696;2.00513;222.251;785.138;
2390;0.713683;191.616;368.582;0.378779;1.98192;221.906;785.179;
2400;0.714167;191.224;369.383;0.377864;1.95898;221.561;785.219;
2410;0.714651;190.833;370.181;0.376953;1.93631;221.216;785.258;
2420;0.715133;190.444;370.978;0.376046;1.91389;220.871;785.298;
2430;0.715615;190.056;371.772;0.375141;1.89173;220.525;785.336;
2440;0.716097;189.669;372.565;0.374239;1.86982;220.18;785.374;
2450;0.716578;189.283;373.355;0.37334;1.84816;219.835;785.411;
2460;0.717058;188.898;374.144;0.372445;1.82675;219.49;785.449;
2470;0.717538;188.515;374.931;0.371552;1.80559;219.145;785.485;
2480;0.718017;188.133;375.715;0.370663;1.78467;218.8;785.521;
2490;0.718496;187.752;376.498;0.369776;1.76399;218.455;785.557;
2500;0.718974;187.372;377.279;0.368893;1.74354;218.11;785.592;
2510;0.719451;186.993;378.058;0.368012;1.72334;217.765;785.627;
2520;0.719928;186.616;378.834;0.367134;1.70336;217.421;785.662;
2530;0.720405;186.24;379.609;0.36626;1.68361;217.076;785.696;
2540;0.72088;185.865;380.383;0.365388;1.66409;216.731;785.73;
2550;0.721355;185.492;381.154;0.364519;1.64479;216.387;785.763;
2560;0.72183;185.119;381.923;0.363653;1.62572;216.043;785.796;
2570;0.722304;184.748;382.691;0.362789;1.60686;215.698;785.829;
