time;Sp;Ipg1;Ipg2;Sc;Icg1;Icg2;N;
2420;0.52915;0.00170921;471.806;0.465356;3.71203e-05;414.821;887.623;
2430;0.529765;0.00162732;472.363;0.464741;3.51064e-05;414.281;887.64;
2440;0.530379;0.00154937;472.92;0.464126;3.32018e-05;413.742;887.658;
2450;0.530994;0.00147516;473.477;0.463512;3.14004e-05;413.202;887.675;
2460;0.531608;0.00140451;474.034;0.462898;2.96968e-05;412.663;887.693;
2470;0.532222;0.00133724;474.591;0.462284;2.80856e-05;412.123;887.71;
2480;0.532836;0.00127321;475.147;0.46167;2.65618e-05;411.584;887.727;
2490;0.533449;0.00121225;475.704;0.461057;2.51207e-05;411.045;887.745;
2500;0.534063;0.00115421;476.26;0.460443;2.37577e-05;410.506;887.762;
2510;0.534676;0.00109896;476.816;0.45983;2.24687e-05;409.967;887.779;
2520;0.535289;0.00104635;477.372;0.459217;2.12496e-05;409.429;887.796;
2530;0.535902;0.000996271;477.928;0.458604;2.00966e-05;408.89;887.814;
2540;0.536515;0.000948591;478.483;0.457992;1.90062e-05;408.352;887.831;
2550;0.537127;0.000903197;479.039;0.45738;1.79749e-05;407.814;887.848;
2560;0.537739;0.00085998;479.594;0.456768;1.69995e-05;407.276;887.865;
2570;0.538351;0.000818834;480.149;0.456156;1.60771e-05;406.738;887.883;
2580;0.538963;0.00077966;480.704;0.455544;1.52047e-05;406.201;887.9;
2590;0.539574;0.000742365;481.258;0.454933;1.43797e-05;405.663;887.917;
2600;0.540185;0.000706856;481.813;0.454321;1.35994e-05;405.126;887.934;
2610;0.540797;0.000673049;482.367;0.45371;1.28614e-05;404.589;887.951;
2620;0.541407;0.000640862;482.921;0.4531;1.21635e-05;404.052;887.968;
2630;0.542018;0.000610217;483.475;0.452489;1.15035e-05;403.515;887.986;
2640;0.542628;0.00058104;484.029;0.451879;1.08792e-05;402.979;888.003;
2650;0.543239;0.000553261;484.582;0.451269;1.02888e-05;402.443;888.02;
2660;0.543848;0.000526813;485.135;0.450659;9.7305e-06;401.906;888.037;
2670;0.544458;0.000501631;485.688;0.450049;9.20245e-06;401.37;888.054;
2680;0.545068;0.000477655;486.241;0.44944;8.70305e-06;400.835;888.071;
2690;0.545677;0.000454827;486.794;0.448831;8.23074e-06;400.299;888.088;
2700;0.546286;0.000433092;487.347;0.448222;7.78406e-06;399.763;888.105;
2710;0.546894;0.000412398;487.899;0.447613;7.36162e-06;399.228;888.122;
2720;0.547503;0.000392695;488.451;0.447005;6.96209e-06;398.693;888.139;
2730;0.548111;0.000373934;489.003;0.446397;6.58425e-06;398.158;888.156;
2740;0.548719;0.000356072;489.555;0.445789;6.22691e-06;397.624;888.173;
2750;0.549327;0.000339064;490.106;0.445181;5.88896e-06;397.089;888.19;
2760;0.549934;0.00032287;490.657;0.444574;5.56934e-06;396.555;888.207;
2770;0.550542;0.000307452;491.208;0.443967;5.26707e-06;396.021;888.224;
2780;0.551149;0.00029277;491.759;0.44336;4.9812e-06;395.487;888.241;
2790;0.551756;0.000278792;492.31;0.442753;4.71085e-06;394.953;888.258;
2800;0.552362;0.000265481;492.86;0.442147;4.45516e-06;394.42;888.275;
2810;0.552968;0.000252808;493.41;0.441541;4.21335e-06;393.886;888.291;
2820;0.553574;0.000240741;493.96;0.440935;3.98466e-06;393.353;888.308;
2830;0.55418;0.00022925;494.51;0.440329;3.76838e-06;392.82;888.325;
2840;0.554785;0.00021831;495.06;0.439724;3.56384e-06;392.288;888.342;
2850;0.555391;0.000207892;495.609;0.439119;3.3704e-06;391.755;888.359;
2860;0.555996;0.000197972;496.158;0.438514;3.18745e-06;391.223;888.376;
2870;0.5566;0.000188527;496.707;0.437909;3.01444e-06;390.691;888.392;
2880;0.557205;0.000179533;497.256;0.437305;2.85081e-06;390.159;888.409;
2890;0.557809;0.000170969;497.804;0.436701;2.69607e-06;389.627;888.426;
2900;0.558413;0.000162814;498.352;0.436097;2.54972e-06;389.096;888.443;
2910;0.559016;0.000155049;498.9;0.435494;2.41131e-06;388.565;888.46;
2920;0.559619;0.000147655;499.448;0.434891;2.28042e-06;388.034;888.476;
2930;0.560222;0.000140614;499.995;0.434288;2.15663e-06;387.503;888.493;
2940;0.560825;0.00013391;500.543;0.433685;2.03955e-06;386.972;888.51;
2950;0.561428;0.000127526;501.09;0.433083;1.92884e-06;386.442;888.526;
2960;0.56203;0.000121447;501.636;0.432481;1.82413e-06;385.912;888.543;
2970;0.562632;0.000115658;502.183;0.431879;1.7251e-06;385.382;888.56;
2980;0.563233;0.000110145;502.729;0.431277;1.63145e-06;384.853;888.577;
2990;0.563835;0.000104896;503.275;0.430676;1.54288e-06;384.323;888.593;
3000;0.564436;9.98975e-05;503.821;0.430075;1.45912e-06;383.794;888.61;
3010;0.565036;9.51376e-05;504.367;0.429474;1.37991e-06;383.265;888.626;
3020;0.565637;9.06049e-05;504.912;0.428874;1.30499e-06;382.737;888.643;
3030;0.566237;8.62886e-05;505.457;0.428274;1.23415e-06;382.208;888.66;
3040;0.566837;8.21782e-05;506.002;0.427674;1.16714e-06;381.68;888.676;
3050;0.567437;7.82641e-05;506.546;0.427075;1.10378e-06;381.152;888.693;
3060;0.568036;7.45367e-05;507.091;0.426475;1.04385e-06;380.624;888.709;
3070;0.568635;7.09872e-05;507.635;0.425877;9.87177e-07;380.097;888.726;
3080;0.569234;6.7607e-05;508.179;0.425278;9.3358e-07;379.569;888.742;
3090;0.569832;6.43881e-05;508.722;0.42468;8.82892e-07;379.042;888.759;
3100;0.57043;6.13228e-05;509.265;0.424082;8.34956e-07;378.516;888.776;
3110;0.571028;5.84036e-05;509.808;0.423484;7.89622e-07;377.989;888.792;
3120;0.571625;5.56237e-05;510.351;0.422887;7.46749e-07;377.463;888.809;
3130;0.572222;5.29763e-05;510.894;0.42229;7.06203e-07;376.937;888.825;
3140;0.572819;5.04552e-05;511.436;0.421693;6.67859e-07;376.411;888.841;
3150;0.573416;4.80543e-05;511.978;0.421096;6.31596e-07;375.886;888.858;
3160;0.574012;4.57678e-05;512.52;0.4205;5.97301e-07;375.36;888.874;
3170;0.574608;4.35904e-05;513.061;0.419905;5.64868e-07;374.835;888.891;
3180;0.575204;4.15167e-05;513.602;0.419309;5.34196e-07;374.31;888.907;
3190;0.575799;3.95418e-05;514.143;0.418714;5.05189e-07;373.786;888.924;
3200;0.576394;3.76611e-05;514.684;0.418119;4.77757e-07;373.262;888.94;
3210;0.576988;3.587e-05;515.224;0.417524;4.51815e-07;372.738;888.956;
3220;0.577583;3.41643e-05;515.764;0.41693;4.2728e-07;372.214;888.973;
3230;0.578177;3.25398e-05;516.304;0.416336;4.04078e-07;371.691;888.989;
3240;0.57877;3.09927e-05;516.843;0.415743;3.82135e-07;371.167;889.005;
3250;0.579364;2.95193e-05;517.383;0.415149;3.61384e-07;370.645;889.022;
3260;0.579957;2.81161e-05;517.922;0.414557;3.41759e-07;370.122;889.038;
3270;0.58055;2.67797e-05;518.46;0.413964;3.232e-07;369.6;889.054;
3280;0.581142;2.55069e-05;518.999;0.413372;3.05648e-07;369.077;889.071;
3290;0.581734;2.42948e-05;519.537;0.41278;2.8905e-07;368.556;889.087;
3300;0.582326;2.31403e-05;520.075;0.412188;2.73353e-07;368.034;889.103;
3310;0.582917;2.20408e-05;520.612;0.411597;2.58508e-07;367.513;889.119;
3320;0.583508;2.09937e-05;521.149;0.411006;2.44469e-07;366.992;889.136;
3330;0.584099;1.99964e-05;521.686;0.410415;2.31192e-07;366.471;889.152;
3340;0.584689;1.90466e-05;522.223;0.409825;2.18636e-07;365.95;889.168;
3350;0.585279;1.8142e-05;522.759;0.409235;2.06762e-07;365.43;889.184;
3360;0.585869;1.72804e-05;523.295;0.408646;1.95533e-07;364.91;889.2;
3370;0.586458;1.64598e-05;523.831;0.408056;1.84913e-07;364.391;889.216;
3380;0.587047;1.56782e-05;524.367;0.407467;1.7487e-07;363.871;889.233;
3390;0.587636;1.49339e-05;524.902;0.406879;1.65373e-07;363.352;889.249;
3400;0.588224;1.42249e-05;525.437;0.406291;1.56391e-07;362.834;889.265;
3410;0.588812;1.35497e-05;525.971;0.405703;1.47897e-07;362.315;889.281;
